Timestamp,Value
1724324409.8645437,10740
1724324409.8645437,12530
1724324409.8645437,14933
1724324409.8645437,14369
1724324409.8645437,1674
1724324409.8645437,29
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,0
1724324409.8645437,6
1724324409.8645437,19
1724324409.8645437,28
1724324409.8645437,34
1724324409.8645437,51
1724324409.8645437,64
1724324409.8645437,70
1724324409.8645437,68
1724324409.8645437,73
1724324409.8645437,72
1724324409.8645437,71
1724324409.8714862,71
1724324409.8714862,75
1724324409.8714862,75
1724324409.8714862,76
1724324409.8714862,76
1724324409.8714862,80
1724324409.8714862,78
1724324409.8724108,78
1724324409.8724108,79
1724324409.8724108,75
1724324409.8724108,76
1724324409.8724108,80
1724324409.8724108,79
1724324409.8724108,80
1724324409.8724108,83
1724324409.8724108,83
1724324409.873426,83
1724324409.873426,82
1724324409.873426,82
1724324409.873426,83
1724324409.873426,84
1724324409.873426,83
1724324409.873426,82
1724324409.873426,84
1724324409.873426,80
1724324409.8744733,82
1724324409.8744733,82
1724324409.8744733,83
1724324409.8744733,84
1724324409.8744733,82
1724324409.875229,79
1724324409.875229,76
1724324409.875229,79
1724324409.875229,80
1724324409.875229,77
1724324409.875229,78
1724324409.875229,76
1724324409.875229,81
1724324409.875229,80
1724324409.8762512,79
1724324409.8762512,76
1724324409.8762512,78
1724324409.8762512,78
1724324409.8762512,78
1724324409.8762512,80
1724324409.8771503,76
1724324409.8773046,77
1724324409.8773046,77
1724324409.8773046,76
1724324409.8773046,75
1724324409.8773046,75
1724324409.8773046,75
1724324409.8773046,77
1724324409.8773046,76
1724324409.8773046,71
1724324409.8773046,71
1724324409.8785093,71
1724324409.8785093,72
1724324409.8785093,72
1724324409.8785093,73
1724324409.8785093,75
1724324409.8785093,75
1724324409.8785093,71
1724324409.8785093,74
1724324409.8795307,73
1724324409.8795307,70
1724324409.8795307,65
1724324409.8795307,63
1724324409.8795307,72
1724324409.8795307,67
1724324409.8795307,64
1724324409.8795307,76
1724324409.8795307,71
1724324409.8795307,72
1724324409.8795307,72
1724324409.8795307,65
1724324409.8795307,68
1724324409.881058,60
1724324409.881058,67
1724324409.881058,68
1724324409.881058,71
1724324409.881058,65
1724324409.881058,70
1724324409.881058,70
1724324409.881058,70
1724324409.881058,65
1724324409.881058,61
1724324409.8823035,58
1724324409.8823035,56
1724324409.8823035,56
1724324409.8823035,56
1724324409.8823035,60
1724324409.8823035,54
1724324409.8823035,61
1724324409.8823035,54
1724324409.8823035,52
1724324409.8833942,47
1724324409.8833942,41
1724324409.8835843,44
1724324409.883704,41
1724324409.883704,34
1724324409.883704,30
1724324409.883704,19
1724324409.883704,8
1724324409.883704,0
1724324409.883704,0
1724324409.883704,0
1724324409.883704,0
1724324409.883704,0
1724324409.8847127,0
1724324409.8847127,0
1724324409.8847127,0
1724324409.8847127,0
1724324409.8847127,0
1724324409.8847127,0
1724324409.8847127,0
1724324409.8847127,0
1724324409.8847127,0
1724324409.8847127,0
1724324409.8857157,0
1724324409.8857157,0
1724324409.8857157,0
1724324409.8857157,0
1724324409.8857157,0
1724324409.8857157,0
1724324409.8857157,0
1724324409.8857157,0
1724324409.8857157,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8866754,0
1724324409.8881445,0
1724324409.8881445,0
1724324409.8881445,0
1724324409.8881445,0
1724324409.8881445,0
1724324409.8881445,0
1724324409.8881445,0
1724324409.8881445,0
1724324409.8881445,0
1724324409.8881445,0
1724324409.8891547,0
1724324409.8891547,0
1724324409.8891547,0
1724324409.8891547,0
1724324409.8891547,0
1724324409.8891547,0
1724324409.8891547,0
1724324409.8891547,0
1724324409.8891547,0
